,DOM,time
1364,3,68400177
1365,3,68597178
1366,3,68794178
1367,3,68991179
1368,3,69188179
1369,3,69385179
1370,3,69582180
1371,3,69779180
1372,3,69976181
1373,3,70173181
1374,3,70370182
1375,3,70567182
1376,3,70764183
1377,3,70961183
1378,3,71158184
1379,3,71355184
1380,3,71552185
1381,3,71749185
1382,3,71946186
1383,3,72143186
1384,3,72340187
1385,3,72537187
1386,3,72734188
1387,3,72931188
1388,3,73128189
1389,3,73325189
1390,3,73522190
1391,3,73719190
1392,3,73916191
1393,3,74113191
1394,3,74310192
1395,3,74507192
1396,3,74704193
1397,3,74901193
1398,3,75098194
1399,3,75295194
1400,3,75492195
1401,3,75689195
1402,3,75886196
1403,3,76083196
1404,3,76280197
1405,3,76477197
1406,3,76674198
1407,3,76871198
1408,3,77068199
1409,3,77265199
1410,3,77462199
1411,3,77659200
1412,3,77856201
1413,3,78053201
1414,3,78250201
1415,3,78447202
1416,3,78644202
1417,3,78841203
1418,3,79038203
1419,3,79235204
1420,3,79432204
1421,3,79629205
1422,3,79826205
1423,3,80023206
1424,3,80220206
1425,3,80417207
1426,3,80614207
1427,3,80811208
1428,3,81008208
1429,3,81205209
1430,3,81402209
1431,3,81599210
1432,3,81796210
1433,3,81993211
1434,3,82190211
1435,3,82387212
1436,3,82584212
1437,3,82781213
1438,3,82978213
1439,3,83175214
1440,3,83372214
1441,3,83569215
1442,3,83766215
1443,3,83963216
1444,3,84160216
1445,3,84357217
1446,3,84554217
1447,3,84751218
1448,3,84948218
1449,3,85145219
1450,3,85342219
1451,3,85539220
1452,3,85736220
1453,3,85933221
1454,3,86130221
1455,3,86327222
1456,3,86524222
1457,3,86721223
1458,3,86918223
1459,3,87115224
1460,3,87312224
1461,3,87509225
1462,3,87706225
1463,3,87903226
1464,3,88100226
1465,3,88297227
1466,3,88494227
1467,3,88691228
1468,3,88888228
1469,3,89085229
1470,3,89282229
1471,3,89479229
1472,3,89676230
1473,3,89873230
1474,3,90070231
1475,3,90267231
1476,3,90464232
1477,3,90661232
1478,3,90858233
1479,3,91055233
1480,3,91252234
1481,3,91449234
1482,3,91646235
1483,3,91843235
1484,3,92040236
1485,3,92237237
1486,3,92434237
1487,3,92631237
1488,3,92828238
1489,3,93025238
1490,3,93222239
1491,3,93419239
1492,3,93616240
1493,3,93813240
1494,3,94010241
1495,3,94207241
1496,3,94404242
1497,3,94601242
1498,3,94798243
1499,3,94995243
1500,3,95192244
1501,3,95389244
1502,3,95586245
1503,3,95783245
1504,3,95980246
1505,3,96177246
1506,3,96374247
1507,3,96571247
1508,3,96768248
1509,3,96965248
1510,3,97162249
1511,3,97359249
1512,3,97556250
1513,3,97753250
1514,3,97950251
1515,3,98147251
1516,3,98344252
1517,3,98541252
1518,3,98738253
1519,3,98935253
1520,3,99132254
1521,3,99329254
1522,3,99526255
1523,3,99723255
1524,3,99920256
1525,4,40974
1526,4,237975
1527,4,434976
1528,4,631977
1529,4,828978
1530,4,1025979
1531,4,1222980
1532,4,1419980
1533,4,1616981
1534,4,1813982
1535,4,2010983
1536,4,2207984
1537,4,2404985
1538,4,2601986
1539,4,2798986
1540,4,2995987
1541,4,3192988
1542,4,3389989
1543,4,3586990
1544,4,3783991
1545,4,3980991
1546,4,4177992
1547,4,4374993
1548,4,4571994
1549,4,4768995
1550,4,4965996
1551,4,5162997
1552,4,5359998
1553,4,5556998
1554,4,5753999
1555,4,5951000
1556,4,6148001
1557,4,6345002
1558,4,6542003
1559,4,6739004
1560,4,6936004
1561,4,7133005
1562,4,7330006
1563,4,7527007
1564,4,7724008
1565,4,7921009
1566,4,8118010
1567,4,8315010
1568,4,8512011
1569,4,8709012
1570,4,8906013
1571,4,9103014
1572,4,9300015
1573,4,9497015
1574,4,9694016
1575,4,9891017
1576,4,10088018
1577,4,10285019
1578,4,10482020
1579,4,10679021
1580,4,10876021
1581,4,11073022
1582,4,11270023
1583,4,11467024
1584,4,11664025
1585,4,11861026
1586,4,12058027
1587,4,12255027
1588,4,12452028
1589,4,12649029
1590,4,12846030
1591,4,13043031
1592,4,13240032
1593,4,13437033
1594,4,13634033
1595,4,13831034
1596,4,14028035
1597,4,14225036
1598,4,14422037
1599,4,14619038
1600,4,14816038
1601,4,15013039
1602,4,15210040
